name,name_type
Mary,FIRST_NAME
Anna,FIRST_NAME
Emma,FIRST_NAME
Elizabeth,FIRST_NAME
Minnie,FIRST_NAME
Margaret,FIRST_NAME
Ida,FIRST_NAME
Alice,FIRST_NAME
Bertha,FIRST_NAME
Sarah,FIRST_NAME
Annie,FIRST_NAME
Clara,FIRST_NAME
Ella,FIRST_NAME
Florence,FIRST_NAME
Cora,FIRST_NAME
Martha,FIRST_NAME
Laura,FIRST_NAME
Nellie,FIRST_NAME
Grace,FIRST_NAME
Carrie,FIRST_NAME
Maude,FIRST_NAME
Mabel,FIRST_NAME
Bessie,FIRST_NAME
Jennie,FIRST_NAME
Gertrude,FIRST_NAME
Julia,FIRST_NAME
Hattie,FIRST_NAME
Edith,FIRST_NAME
Mattie,FIRST_NAME
Rose,FIRST_NAME
Catherine,FIRST_NAME
Lillian,FIRST_NAME
Ada,FIRST_NAME
Lillie,FIRST_NAME
Helen,FIRST_NAME
Jessie,FIRST_NAME
Louise,FIRST_NAME
Ethel,FIRST_NAME
Lula,FIRST_NAME
Myrtle,FIRST_NAME
Eva,FIRST_NAME
Frances,FIRST_NAME
Lena,FIRST_NAME
Lucy,FIRST_NAME
Edna,FIRST_NAME
Maggie,FIRST_NAME
Pearl,FIRST_NAME
Daisy,FIRST_NAME
Fannie,FIRST_NAME
Josephine,FIRST_NAME
Dora,FIRST_NAME
Rosa,FIRST_NAME
Katherine,FIRST_NAME
Agnes,FIRST_NAME
Marie,FIRST_NAME
Nora,FIRST_NAME
May,FIRST_NAME
Mamie,FIRST_NAME
Blanche,FIRST_NAME
Stella,FIRST_NAME
Ellen,FIRST_NAME
Nancy,FIRST_NAME
Effie,FIRST_NAME
Sallie,FIRST_NAME
Nettie,FIRST_NAME
Della,FIRST_NAME
Lizzie,FIRST_NAME
Flora,FIRST_NAME
Susie,FIRST_NAME
Maud,FIRST_NAME
Mae,FIRST_NAME
Etta,FIRST_NAME
Harriet,FIRST_NAME
Sadie,FIRST_NAME
Caroline,FIRST_NAME
Katie,FIRST_NAME
Lydia,FIRST_NAME
Elsie,FIRST_NAME
Kate,FIRST_NAME
Susan,FIRST_NAME
Mollie,FIRST_NAME
Alma,FIRST_NAME
Addie,FIRST_NAME
Georgia,FIRST_NAME
Eliza,FIRST_NAME
Lulu,FIRST_NAME
Nannie,FIRST_NAME
Lottie,FIRST_NAME
Amanda,FIRST_NAME
Belle,FIRST_NAME
Charlotte,FIRST_NAME
Rebecca,FIRST_NAME
Ruth,FIRST_NAME
Viola,FIRST_NAME
Olive,FIRST_NAME
Amelia,FIRST_NAME
Hannah,FIRST_NAME
Jane,FIRST_NAME
Virginia,FIRST_NAME
Emily,FIRST_NAME
Matilda,FIRST_NAME
Irene,FIRST_NAME
Kathryn,FIRST_NAME
Esther,FIRST_NAME
Willie,FIRST_NAME
Henrietta,FIRST_NAME
Ollie,FIRST_NAME
Amy,FIRST_NAME
Rachel,FIRST_NAME
Sara,FIRST_NAME
Estella,FIRST_NAME
Theresa,FIRST_NAME
Augusta,FIRST_NAME
Ora,FIRST_NAME
Pauline,FIRST_NAME
Josie,FIRST_NAME
Lola,FIRST_NAME
Sophia,FIRST_NAME
Leona,FIRST_NAME
Anne,FIRST_NAME
Mildred,FIRST_NAME
Ann,FIRST_NAME
Beulah,FIRST_NAME
Callie,FIRST_NAME
Lou,FIRST_NAME
Delia,FIRST_NAME
Eleanor,FIRST_NAME
Barbara,FIRST_NAME
Iva,FIRST_NAME
Louisa,FIRST_NAME
